budget,genres,id,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,status,title,vote_average,vote_count
3000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",868,af,2.504169,"[{""name"": ""Movieworld Productions"", ""id"": 563}, {""name"": ""Industrial Development Corporation of South Africa"", ""id"": 564}, {""name"": ""UK Film & TV Production Company"", ""id"": 565}, {""name"": ""National Film & Video Foundation of South Africa"", ""id"": 566}]","[{""iso_3166_1"": ""ZA"", ""name"": ""South Africa""}]",8/18/2005,9879971,94,Released,Tsotsi,6.9,94
0,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",159037,ar,4.892203,"[{""name"": ""Roast Beef Productions"", ""id"": 7266}, {""name"": ""Worldview Entertainment"", ""id"": 9015}, {""name"": ""Noujaim Films"", ""id"": 27197}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""EG"", ""name"": ""Egypt""}]",06/07/2013,0,88,Released,The Square,7.8,55
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7973,ar,4.554574,"[{""name"": ""Bac Films"", ""id"": 208}, {""name"": ""Les Films des Tournelles"", ""id"": 2280}, {""name"": ""Les Films de Beyrouth"", ""id"": 2281}, {""name"": ""Roissy Films"", ""id"": 2282}, {""name"": ""Sunnyland"", ""id"": 2283}, {""name"": ""Arte France Cin\u00e9ma"", ""id"": 6916}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Fonds Sud Cin\u00e9ma"", ""id"": 22625}, {""name"": ""Minist\u00e8re de la Culture et de la Communication"", ""id"": 25818}, {""name"": ""Minist\u00e8re des Affaires \u00e9trang\u00e8res et du D\u00e9veloppement International"", ""id"": 72598}, {""name"": ""Cin\u00e9fondation"", ""id"": 77292}, {""name"": ""Minist\u00e8re Libanais de la Culture"", ""id"": 78994}]","[{""iso_3166_1"": ""LB"", ""name"": ""Lebanon""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",07/01/2007,0,96,Released,Caramel,6.8,52
36000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",365222,cn,19.167377,"[{""name"": ""Mandarin Films Distribution Co."", ""id"": 4054}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",12/19/2015,156844753,105,Released,Ip Man 3,6.5,379
25000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",290864,cn,6.895866,"[{""name"": ""Emperor Motion Pictures"", ""id"": 2726}, {""name"": ""Heart & Soul Production"", ""id"": 45424}, {""name"": ""Beijing Silver Moon Productions"", ""id"": 45425}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",10/31/2014,0,100,Released,Kung Fu Jungle,6.5,114
23000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}]",30596,cn,7.876883,"[{""name"": ""China Film Group Corporation"", ""id"": 2270}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}]",12/18/2009,5837674,139,Released,Bodyguards and Assassins,6.5,57
20000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}]",9470,cn,13.658985,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",02/10/2004,100914445,99,Released,Kung Fu Hustle,7.2,831
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",13688,cn,12.373248,"[{""name"": ""Columbia Pictures Film Production Asia"", ""id"": 2798}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",1/30/2008,47301471,86,Released,CJ7,6.1,107
0,"[{""id"": 28, ""name"": ""Action""}]",244339,cn,1.583918,"[{""name"": ""Sun Entertainment Culture"", ""id"": 20542}, {""name"": ""Universe Entertainment"", ""id"": 20543}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",03/10/2013,0,107,Released,Out of Inferno,5.8,11
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",11770,cn,17.54768,"[{""name"": ""Star Overseas"", ""id"": 3477}, {""name"": ""Universe Entertainment"", ""id"": 20543}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",07/12/2001,42776760,113,Released,Shaolin Soccer,6.6,491
7500000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",33542,cn,17.318839,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Golden Harvest Company"", ""id"": 2521}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",1/30/1995,32392047,91,Released,Rumble in the Bronx,6.5,240
